title,location,Status,size,price,pricepersqfeet
Residential Plot in Haripriya Dukes County Phase II,"Sheriguda, Hyderabad",New,2700 , 1.19 0000000 ,"4,444 / sq ft"
Residential Plot in Haripriya Dukes County Phase II,"Sheriguda, Hyderabad",New,1800 , 79.99 00000 ,"4,444 / sq ft"
Residential Plot in Haripriya Dukes County Phase II,"Sheriguda, Hyderabad",New,1980 , 87.99 00000 ,"4,444 / sq ft"
Residential Plot in Haripriya Dukes County Phase II,"Sheriguda, Hyderabad",New,2700 , 1.19 0000000 ,"4,444 / sq ft"
Residential Plot in Haripriya Dukes County Phase II,"Sheriguda, Hyderabad",New,4203 , 1.86 0000000 ,"4,444 / sq ft"
Residential Plot in Haripriya Dukes County Phase II,"Sheriguda, Hyderabad",New,1980 , 87.99 00000 ,"4,444 / sq ft"
Residential Plot in Haripriya Dukes County Phase II,"Sheriguda, Hyderabad",New,3906 , 1.73 0000000 ,"4,444 / sq ft"
Residential Plot in Haripriya Dukes County Phase II,"Sheriguda, Hyderabad",New,4203 , 1.86 0000000 ,"4,444 / sq ft"
Residential Plot in Haripriya Dukes County Phase II,"Sheriguda, Hyderabad",New,3906 , 1.73 0000000 ,"4,444 / sq ft"
Residential Plot in Haripriya Dukes County Phase II,"Sheriguda, Hyderabad",New,2250 , 99.99 00000 ,"4,444 / sq ft"
Residential Plot in Haripriya Dukes County Phase II,"Sheriguda, Hyderabad",New,2250 , 99.99 00000 ,"4,444 / sq ft"
Residential Plot in Haripriya Dukes County Phase II,"Sheriguda, Hyderabad",New,2601 , 1.15 0000000 ,"4,444 / sq ft"
Residential Plot in Haripriya Dukes County Phase II,"Sheriguda, Hyderabad",New,2601 , 1.15 0000000 ,"4,444 / sq ft"
Residential Plot in Haripriya Dukes County Phase II,"Sheriguda, Hyderabad",New,2403 , 1.06 0000000 ,"4,444 / sq ft"
Residential Plot in Haripriya Dukes County Phase II,"Sheriguda, Hyderabad",New,2403 , 1.06 0000000 ,"4,444 / sq ft"
Residential Plot in Haripriya Dukes County Phase II,"Sheriguda, Hyderabad",New,2664 , 1.18 0000000 ,"4,444 / sq ft"
Residential Plot in Haripriya Dukes County Phase II,"Sheriguda, Hyderabad",New,2664 , 1.18 0000000 ,"4,444 / sq ft"
Residential Plot,"Kothur Patti Digwal, Hyderabad",New,1485 , 20 00000 ,"1,346 / sq ft"
Residential Plot,"Sadashivpet, Hyderabad",New,1800 , 32 00000 ,"1,777 / sq ft"
Residential Plot,"muthangi, Hyderabad",New,1800 , 50 00000 ,"2,777 / sq ft"
Residential Plot,"Zaheerabad, Hyderabad",New,1485 , 24 00000 ,"1,616 / sq ft"
Residential Plot,"Zaheerabad, Hyderabad",New,1485 , 20 00000 ,"1,346 / sq ft"
Residential Plot,"Kothur Patti Digwal, Hyderabad",New,1485 , 20 00000 ,"1,346 / sq ft"
Residential Plot,"Aroor, Hyderabad",New,1485 , 24 00000 ,"1,616 / sq ft"
Residential Plot in G Square Olympia,"Shadnagar, Hyderabad",New,1620 , 31.41 00000 ,"1,939 / sq ft"
Residential Plot in G Square Olympia,"Shadnagar, Hyderabad",New,3600 , 69.8 00000 ,"1,939 / sq ft"
Residential Plot in G Square Olympia,"Shadnagar, Hyderabad",New,1620 , 31.41 00000 ,"1,939 / sq ft"
3 BHK Apartment in My Home Sayuk,"Tellapur, Hyderabad",Under Construction,2262 , 1.7 0000000 ,"7,515 / sq ft"
3 BHK Villa in RNG Supra Avenue,"Bachupally, Hyderabad",Under Construction,2377 , 1.68 0000000 ,"7,067 / sq ft"
3 BHK Villa,"Bowrampet, Hyderabad",Ready to move,2370 , 1.67 0000000 ,"7,046 / sq ft"
2 BHK Apartment,"Miyapur, Hyderabad",Ready to move,1220 , 70 00000 ,"5,737 / sq ft"
2 BHK Apartment,"Miyapur, Hyderabad",Ready to move,1220 , 68.5 00000 ,"5,614 / sq ft"
2 BHK Apartment,"Miyapur, Hyderabad",Ready to move,1150 , 68 00000 ,"5,913 / sq ft"
2 BHK Apartment,"Miyapur, Hyderabad",Ready to move,1150 , 69 00000 ,"6,000 / sq ft"
2 BHK Apartment,"Miyapur, Hyderabad",Ready to move,1220 , 69 00000 ,"5,655 / sq ft"
2 BHK Apartment,"Miyapur, Hyderabad",Ready to move,1220 , 69 00000 ,"5,655 / sq ft"
2 BHK Apartment,"Miyapur, Hyderabad",Ready to move,1220 , 68 00000 ,"5,573 / sq ft"
2 BHK Apartment,"Kompally, Hyderabad",Under Construction,1140 , 51 00000 ,"4,473 / sq ft"
2 BHK Apartment,"Kompally, Hyderabad",Under Construction,1140 , 51 00000 ,"4,473 / sq ft"
2 BHK Apartment,"Kompally, Hyderabad",Under Construction,1140 , 51 00000 ,"4,473 / sq ft"
2 BHK Apartment,"Kompally, Hyderabad",Under Construction,1140 , 51 00000 ,"4,473 / sq ft"
2 BHK Apartment in Hallmark Skyrena,"Narsingi, Hyderabad",Under Construction,1325 , 94.06 00000 ,"7,099 / sq ft"
3 BHK Apartment in Hallmark Skyrena,"Narsingi, Hyderabad",Under Construction,2255 , 1.6 0000000 ,"7,099 / sq ft"
3 BHK Apartment in Hallmark Skyrena,"Narsingi, Hyderabad",Under Construction,1935 , 1.37 0000000 ,"7,099 / sq ft"
2 BHK Apartment in Hallmark Skyrena,"Narsingi, Hyderabad",Under Construction,1325 , 94.06 00000 ,"7,099 / sq ft"
3 BHK Apartment in Hallmark Skyrena,"Narsingi, Hyderabad",Under Construction,1935 , 1.37 0000000 ,"7,099 / sq ft"
3 BHK Apartment in Shree GNR Vasavi Nirvana,"Attapur, Hyderabad",Under Construction,1615 , 1.11 0000000 ,"6,899 / sq ft"
3 BHK Apartment in Shree GNR Vasavi Nirvana,"Attapur, Hyderabad",Under Construction,2120 , 1.46 0000000 ,"6,899 / sq ft"
